id,company_id,complaint_date,category,description,sentiment,severity,status,source
33,3,2026-05-27,insurance,The settlement amount for my claim appears incorrect.,negative,low,resolved,website
34,14,2025-02-20,fraud,There are unauthorized charges on my account. I would like clarification about this transaction.,neutral,low,open,hotline
35,17,2025-01-05,loan,My installment amount appears different from the amount agreed in the contract.,negative,medium,resolved,website
36,7,2025-09-26,loan,The company contacted me repeatedly about a payment that I already made.,negative,medium,resolved,website
37,18,2026-04-19,service,The branch staff gave me conflicting information about my account. I would like clarification about this transaction.,neutral,low,resolved,website
38,9,2026-07-14,billing,There is an incorrect charge on my account.,negative,low,open,branch
39,8,2025-03-17,payment,My payment was deducted but the system still shows the amount as unpaid. My problem was solved and I received a clear explanation.,positive,low,resolved,hotline
40,16,2026-03-29,loan,The loan application has been delayed for several weeks and I have not received a clear explanation.,negative,low,open,branch
41,12,2025-01-23,loan,I was charged an unexpected fee on my loan and customer service did not explain the charge.,negative,medium,open,branch
42,10,2025-11-21,payment,The company has not reflected my recent payment correctly.,negative,medium,resolved,branch
43,13,2026-01-15,loan,I was charged an unexpected fee on my loan and customer service did not explain the charge.,negative,medium,dismissed,hotline
44,1,2025-10-12,service,The branch staff gave me conflicting information about my account. I would like clarification about this transaction.,neutral,medium,resolved,website
45,13,2026-08-28,insurance,The claim was rejected and I was not given a sufficient explanation.,negative,medium,open,hotline
46,10,2025-03-16,loan,I was charged an unexpected fee on my loan and customer service did not explain the charge.,negative,medium,resolved,branch
47,4,2025-04-09,service,My request was closed without solving the problem.,negative,low,resolved,hotline
48,16,2026-06-09,loan,The loan application has been delayed for several weeks and I have not received a clear explanation. I would like clarification about this transaction.,neutral,high,resolved,branch
49,3,2025-01-19,loan,The loan application has been delayed for several weeks and I have not received a clear explanation.,negative,medium,resolved,website
50,17,2026-05-21,loan,The company contacted me repeatedly about a payment that I already made. I am requesting an update regarding my case.,neutral,low,dismissed,social_media
51,15,2025-05-31,loan,The company contacted me repeatedly about a payment that I already made.,negative,medium,resolved,hotline
52,16,2025-08-03,fraud,I believe my account information may have been compromised. Customer service handled my request professionally.,positive,low,resolved,branch
53,11,2025-06-23,fraud,There are unauthorized charges on my account.,negative,high,resolved,hotline
54,13,2026-05-11,insurance,My insurance claim has been pending for a long time without a clear update. Please provide information about the status of my request.,neutral,low,resolved,website
55,13,2025-09-09,service,I could not get a clear answer regarding the service I requested.,negative,high,resolved,branch
56,19,2025-08-08,fraud,I reported a suspicious transaction but have not received a response.,negative,medium,resolved,website
57,20,2025-07-10,loan,The company contacted me repeatedly about a payment that I already made. I would like clarification about this transaction.,neutral,medium,resolved,social_media
58,17,2025-05-29,loan,The loan application has been delayed for several weeks and I have not received a clear explanation.,negative,high,open,social_media
59,16,2025-11-01,service,The branch staff gave me conflicting information about my account. I would like clarification about this transaction.,neutral,medium,open,website
60,14,2025-01-12,insurance,My insurance claim has been pending for a long time without a clear update.,negative,medium,dismissed,website
61,10,2025-11-12,payment,The company has not reflected my recent payment correctly.,negative,medium,open,hotline
62,18,2026-04-06,insurance,The settlement amount for my claim appears incorrect. My problem was solved and I received a clear explanation.,positive,low,resolved,branch
63,16,2025-01-10,loan,My installment amount appears different from the amount agreed in the contract. Please provide information about the status of my request.,neutral,low,resolved,social_media
64,18,2025-06-26,billing,I was charged a fee that was not clearly disclosed.,negative,medium,resolved,social_media
65,11,2026-05-26,billing,There is an incorrect charge on my account. My problem was solved and I received a clear explanation.,positive,low,open,website
66,1,2026-07-19,loan,I requested a copy of my loan agreement but have not received it. I would like clarification about this transaction.,neutral,medium,dismissed,hotline
67,5,2026-03-22,fraud,I reported a suspicious transaction but have not received a response.,negative,high,open,social_media
68,1,2025-04-28,billing,I was billed twice for the same service.,negative,low,resolved,branch
69,3,2025-10-30,service,I could not get a clear answer regarding the service I requested. I am requesting an update regarding my case.,neutral,low,resolved,hotline
70,15,2025-04-08,fraud,Someone appears to have used my account without authorization. I would like clarification about this transaction.,neutral,low,open,branch
71,18,2025-12-01,service,The branch staff gave me conflicting information about my account.,negative,medium,resolved,branch
72,10,2025-03-10,payment,I was charged after the payment had already been completed. Please provide information about the status of my request.,neutral,high,resolved,website
73,2,2025-07-02,billing,I was billed twice for the same service.,negative,medium,open,website
74,16,2025-04-03,loan,I requested a copy of my loan agreement but have not received it.,negative,medium,resolved,branch
75,18,2026-02-09,billing,The invoice contains an amount that I did not authorize.,negative,low,open,website
76,6,2025-03-14,loan,The loan application has been delayed for several weeks and I have not received a clear explanation.,negative,high,open,branch
77,15,2025-09-10,billing,The invoice contains an amount that I did not authorize. The issue was resolved quickly and the staff were helpful.,positive,low,resolved,website
78,20,2025-11-08,insurance,The claim was rejected and I was not given a sufficient explanation. Please provide information about the status of my request.,neutral,low,resolved,website
79,19,2025-01-15,fraud,I reported a suspicious transaction but have not received a response.,negative,medium,resolved,branch
80,5,2025-07-31,loan,The loan application has been delayed for several weeks and I have not received a clear explanation. Please provide information about the status of my request.,neutral,low,open,social_media
81,4,2026-01-04,service,Customer service did not resolve my issue despite several calls.,negative,low,resolved,hotline
82,12,2025-11-11,loan,The loan application has been delayed for several weeks and I have not received a clear explanation.,negative,high,resolved,website
83,13,2026-05-31,insurance,My insurance claim has been pending for a long time without a clear update.,negative,low,open,website
84,11,2025-08-11,loan,The loan application has been delayed for several weeks and I have not received a clear explanation.,negative,medium,resolved,social_media
85,6,2026-07-28,service,I could not get a clear answer regarding the service I requested. I would like clarification about this transaction.,neutral,medium,open,website
86,2,2025-08-13,billing,I was billed twice for the same service.,negative,medium,open,branch
87,20,2025-09-16,insurance,My insurance claim has been pending for a long time without a clear update.,negative,low,resolved,website
88,1,2026-08-19,service,I have been waiting too long for a response from the company.,negative,medium,open,hotline
89,1,2025-04-05,loan,The loan application has been delayed for several weeks and I have not received a clear explanation. I would like clarification about this transaction.,neutral,low,resolved,hotline
90,17,2026-07-01,payment,The company has not reflected my recent payment correctly. Customer service handled my request professionally.,positive,medium,dismissed,website
91,1,2025-06-14,fraud,There are unauthorized charges on my account. I would like clarification about this transaction.,neutral,medium,open,website
92,5,2025-10-22,insurance,The claim was rejected and I was not given a sufficient explanation. I am requesting an update regarding my case.,neutral,medium,resolved,hotline
93,8,2025-05-25,service,The branch staff gave me conflicting information about my account.,negative,medium,resolved,hotline
94,1,2026-08-02,service,I have been waiting too long for a response from the company.,negative,high,resolved,website
95,7,2025-08-19,fraud,Someone appears to have used my account without authorization.,negative,high,resolved,branch
96,4,2026-08-21,payment,My payment was deducted but the system still shows the amount as unpaid.,negative,low,resolved,website
97,2,2025-08-04,fraud,I reported a suspicious transaction but have not received a response. Please provide information about the status of my request.,neutral,medium,open,hotline
98,20,2026-02-15,service,My request was closed without solving the problem.,negative,medium,resolved,hotline
99,19,2026-07-04,billing,A payment was recorded incorrectly on my account.,negative,medium,resolved,social_media
100,6,2026-04-05,service,I have been waiting too long for a response from the company. Customer service handled my request professionally.,positive,low,resolved,hotline
101,12,2026-01-13,billing,A payment was recorded incorrectly on my account. I am requesting an update regarding my case.,neutral,medium,open,hotline
102,9,2026-02-09,service,My request was closed without solving the problem.,negative,high,dismissed,website
103,14,2026-03-07,loan,The loan application has been delayed for several weeks and I have not received a clear explanation.,negative,medium,open,hotline
104,9,2026-08-25,fraud,Someone appears to have used my account without authorization. I am requesting an update regarding my case.,neutral,medium,open,branch
105,11,2025-06-28,payment,The payment process failed several times even though my account had sufficient funds.,negative,high,resolved,website
106,7,2026-04-14,loan,The company contacted me repeatedly about a payment that I already made. I am requesting an update regarding my case.,neutral,medium,open,website
107,17,2025-12-26,loan,I requested a copy of my loan agreement but have not received it.,negative,medium,resolved,branch
108,17,2025-10-12,insurance,The settlement amount for my claim appears incorrect.,negative,medium,resolved,branch
109,17,2025-04-23,loan,My installment amount appears different from the amount agreed in the contract.,negative,medium,resolved,branch
110,18,2026-04-03,service,The branch staff gave me conflicting information about my account.,negative,low,resolved,social_media
111,19,2025-11-09,billing,A payment was recorded incorrectly on my account. I would like clarification about this transaction.,neutral,low,resolved,hotline
112,3,2025-02-20,insurance,I was charged a premium that does not match the information in my policy.,negative,medium,open,hotline
113,1,2026-05-15,billing,I was billed twice for the same service. Please provide information about the status of my request.,neutral,medium,resolved,social_media
114,5,2026-01-16,loan,I was charged an unexpected fee on my loan and customer service did not explain the charge.,negative,low,open,website
115,19,2026-01-21,billing,A payment was recorded incorrectly on my account.,negative,high,resolved,branch
116,3,2026-05-15,billing,A payment was recorded incorrectly on my account. I am requesting an update regarding my case.,neutral,low,resolved,branch
117,12,2025-04-25,loan,I was charged an unexpected fee on my loan and customer service did not explain the charge.,negative,high,resolved,website
118,17,2025-01-04,insurance,The claim was rejected and I was not given a sufficient explanation.,negative,low,open,hotline
119,13,2025-02-03,billing,I was charged a fee that was not clearly disclosed.,negative,high,open,hotline
120,17,2025-06-17,service,I have been waiting too long for a response from the company. I am requesting an update regarding my case.,neutral,low,open,social_media
121,2,2026-07-12,billing,There is an incorrect charge on my account.,negative,medium,resolved,branch
122,2,2025-10-23,loan,My installment amount appears different from the amount agreed in the contract.,negative,low,resolved,website
123,11,2026-02-10,service,Customer service did not resolve my issue despite several calls. I would like clarification about this transaction.,neutral,high,resolved,social_media
124,5,2026-05-22,service,I have been waiting too long for a response from the company.,negative,low,resolved,website
125,13,2025-03-02,loan,The loan application has been delayed for several weeks and I have not received a clear explanation. I am requesting an update regarding my case.,neutral,low,resolved,branch
126,11,2026-04-23,billing,There is an incorrect charge on my account.,negative,high,resolved,hotline
127,6,2026-07-23,billing,The invoice contains an amount that I did not authorize.,negative,high,dismissed,hotline
128,17,2025-07-19,loan,My installment amount appears different from the amount agreed in the contract. I am requesting an update regarding my case.,neutral,medium,resolved,hotline
129,18,2026-02-05,service,The branch staff gave me conflicting information about my account. The issue was resolved quickly and the staff were helpful.,positive,low,open,hotline
130,7,2026-08-17,loan,The company contacted me repeatedly about a payment that I already made. I would like clarification about this transaction.,neutral,high,dismissed,social_media
131,20,2025-07-07,payment,The payment process failed several times even though my account had sufficient funds.,negative,medium,resolved,branch
132,13,2026-05-12,loan,The company contacted me repeatedly about a payment that I already made.,negative,medium,resolved,hotline
133,4,2025-11-07,fraud,I noticed a transaction that I do not recognize on my account. I am requesting an update regarding my case.,neutral,medium,resolved,website
134,3,2025-01-29,payment,A payment was delayed and this caused an additional fee. I am requesting an update regarding my case.,neutral,low,dismissed,website
135,17,2025-12-25,service,My request was closed without solving the problem.,negative,medium,open,branch
136,20,2025-10-20,fraud,I noticed a transaction that I do not recognize on my account.,negative,high,open,website
137,16,2025-03-02,loan,The loan application has been delayed for several weeks and I have not received a clear explanation.,negative,medium,open,social_media
138,5,2026-07-29,loan,My installment amount appears different from the amount agreed in the contract. Please provide information about the status of my request.,neutral,low,dismissed,website
139,19,2026-06-01,service,I have been waiting too long for a response from the company.,negative,medium,open,social_media
140,5,2026-02-23,billing,There is an incorrect charge on my account.,negative,medium,resolved,website
141,18,2025-03-30,service,Customer service did not resolve my issue despite several calls.,negative,high,open,website
142,9,2025-07-14,payment,I was charged after the payment had already been completed.,negative,high,open,website
143,2,2025-05-04,payment,My payment was deducted but the system still shows the amount as unpaid.,negative,high,resolved,website
144,15,2026-08-16,loan,My installment amount appears different from the amount agreed in the contract. Please provide information about the status of my request.,neutral,low,dismissed,website
145,18,2025-10-16,service,My request was closed without solving the problem. I would like clarification about this transaction.,neutral,low,resolved,hotline
146,6,2025-06-19,service,I could not get a clear answer regarding the service I requested. I would like clarification about this transaction.,neutral,low,open,website
147,4,2026-06-19,billing,A payment was recorded incorrectly on my account.,negative,high,resolved,website
148,10,2026-08-12,loan,My installment amount appears different from the amount agreed in the contract.,negative,high,open,hotline
149,12,2026-03-24,loan,The company contacted me repeatedly about a payment that I already made.,negative,high,resolved,website
150,13,2025-12-01,fraud,I reported a suspicious transaction but have not received a response. Please provide information about the status of my request.,neutral,low,resolved,branch
151,5,2026-06-08,loan,I requested a copy of my loan agreement but have not received it.,negative,medium,dismissed,website
152,17,2025-10-12,billing,There is an incorrect charge on my account.,negative,low,resolved,social_media
153,12,2025-03-20,fraud,I reported a suspicious transaction but have not received a response.,negative,high,open,hotline
154,19,2026-05-04,insurance,The claim was rejected and I was not given a sufficient explanation.,negative,medium,dismissed,website
155,7,2025-01-22,service,My request was closed without solving the problem.,negative,low,open,hotline
156,11,2026-03-29,insurance,My insurance claim has been pending for a long time without a clear update. The issue was resolved quickly and the staff were helpful.,positive,medium,resolved,hotline
157,3,2026-06-08,insurance,The claim was rejected and I was not given a sufficient explanation. I would like clarification about this transaction.,neutral,medium,open,social_media
158,18,2025-01-27,payment,A payment was delayed and this caused an additional fee. Customer service handled my request professionally.,positive,low,open,website
159,14,2026-06-11,service,The branch staff gave me conflicting information about my account. I am requesting an update regarding my case.,neutral,high,dismissed,website
160,14,2026-05-16,billing,A payment was recorded incorrectly on my account.,negative,medium,open,website
161,2,2026-01-01,fraud,I reported a suspicious transaction but have not received a response. The issue was resolved quickly and the staff were helpful.,positive,low,open,branch
162,15,2025-08-02,billing,The invoice contains an amount that I did not authorize.,negative,high,resolved,website
163,19,2025-04-02,loan,The loan application has been delayed for several weeks and I have not received a clear explanation.,negative,medium,open,branch
164,20,2026-08-12,insurance,The claim was rejected and I was not given a sufficient explanation.,negative,medium,open,branch
165,20,2026-03-04,service,I have been waiting too long for a response from the company. Customer service handled my request professionally.,positive,low,resolved,website
166,17,2026-02-20,payment,I was charged after the payment had already been completed.,negative,low,dismissed,website
167,9,2026-04-04,fraud,Someone appears to have used my account without authorization.,negative,high,resolved,branch
168,20,2025-01-12,billing,I was billed twice for the same service. I would like clarification about this transaction.,neutral,medium,resolved,hotline
169,12,2025-11-05,loan,The company contacted me repeatedly about a payment that I already made.,negative,medium,resolved,hotline
170,19,2025-02-04,loan,I was charged an unexpected fee on my loan and customer service did not explain the charge.,negative,medium,resolved,branch
171,15,2026-05-31,insurance,The company has not responded to my insurance complaint.,negative,high,resolved,hotline
172,12,2025-04-27,fraud,There are unauthorized charges on my account.,negative,high,resolved,branch
173,2,2025-07-05,service,I have been waiting too long for a response from the company.,negative,medium,resolved,social_media
174,12,2026-04-23,service,I have been waiting too long for a response from the company.,negative,medium,open,hotline
175,10,2026-01-16,insurance,The claim was rejected and I was not given a sufficient explanation.,negative,high,resolved,website
176,15,2025-01-28,billing,There is an incorrect charge on my account.,negative,low,resolved,branch
177,2,2025-10-30,payment,I was charged after the payment had already been completed.,negative,medium,open,social_media
178,11,2026-05-28,payment,The payment process failed several times even though my account had sufficient funds.,negative,medium,open,branch
179,20,2025-06-05,service,The branch staff gave me conflicting information about my account. I am requesting an update regarding my case.,neutral,low,resolved,hotline
180,15,2025-10-20,payment,The company has not reflected my recent payment correctly.,negative,low,dismissed,website
181,20,2025-07-25,loan,The loan application has been delayed for several weeks and I have not received a clear explanation.,negative,medium,dismissed,branch
182,12,2025-07-04,loan,The company contacted me repeatedly about a payment that I already made.,negative,medium,open,branch
183,7,2025-11-04,service,The branch staff gave me conflicting information about my account.,negative,medium,open,website
184,16,2025-12-18,payment,The company has not reflected my recent payment correctly.,negative,high,open,hotline
185,6,2025-05-25,payment,The payment process failed several times even though my account had sufficient funds.,negative,high,resolved,website
186,8,2025-05-27,payment,My payment was deducted but the system still shows the amount as unpaid.,negative,high,resolved,hotline
187,16,2026-07-29,payment,I was charged after the payment had already been completed.,negative,medium,open,hotline
188,9,2026-09-02,payment,My payment was deducted but the system still shows the amount as unpaid. I am requesting an update regarding my case.,neutral,low,open,website
189,6,2025-12-10,insurance,I was charged a premium that does not match the information in my policy. Please provide information about the status of my request.,neutral,medium,open,social_media
190,7,2026-04-18,loan,The loan application has been delayed for several weeks and I have not received a clear explanation.,negative,medium,resolved,branch
191,1,2025-01-03,insurance,My insurance claim has been pending for a long time without a clear update.,negative,low,resolved,website
192,8,2025-10-20,service,I could not get a clear answer regarding the service I requested.,negative,medium,resolved,branch
193,15,2025-01-21,service,The branch staff gave me conflicting information about my account. Please provide information about the status of my request.,neutral,medium,resolved,branch
194,11,2025-05-21,loan,The company contacted me repeatedly about a payment that I already made. I am requesting an update regarding my case.,neutral,medium,resolved,website
195,19,2025-06-05,loan,The company contacted me repeatedly about a payment that I already made.,negative,medium,resolved,social_media
196,3,2025-12-11,billing,I was billed twice for the same service.,negative,medium,open,branch
197,11,2026-03-21,loan,I requested a copy of my loan agreement but have not received it.,negative,medium,resolved,website
198,10,2025-12-28,payment,The company has not reflected my recent payment correctly.,negative,high,resolved,website
199,15,2026-08-07,payment,I was charged after the payment had already been completed. I am requesting an update regarding my case.,neutral,medium,resolved,website
200,16,2025-05-26,billing,The invoice contains an amount that I did not authorize. Please provide information about the status of my request.,neutral,medium,resolved,hotline
201,19,2026-03-08,billing,There is an incorrect charge on my account.,negative,low,open,social_media
202,5,2026-03-17,billing,A payment was recorded incorrectly on my account.,negative,medium,open,hotline
203,2,2026-04-04,insurance,The settlement amount for my claim appears incorrect.,negative,medium,resolved,hotline
204,7,2025-02-05,insurance,I was charged a premium that does not match the information in my policy.,negative,medium,dismissed,hotline
205,8,2026-07-15,billing,A payment was recorded incorrectly on my account.,negative,medium,open,branch
206,2,2026-01-16,billing,A payment was recorded incorrectly on my account.,negative,medium,resolved,hotline
207,3,2025-04-26,loan,I was charged an unexpected fee on my loan and customer service did not explain the charge. Customer service handled my request professionally.,positive,low,dismissed,branch
208,8,2026-03-22,billing,I was billed twice for the same service. The issue was resolved quickly and the staff were helpful.,positive,low,resolved,website
209,16,2025-04-14,loan,I requested a copy of my loan agreement but have not received it. My problem was solved and I received a clear explanation.,positive,medium,open,branch
210,5,2026-04-01,fraud,There are unauthorized charges on my account.,negative,high,open,website
211,7,2025-04-24,payment,I was charged after the payment had already been completed. Please provide information about the status of my request.,neutral,low,open,website
212,13,2026-02-11,service,My request was closed without solving the problem.,negative,low,resolved,hotline
213,4,2025-08-27,payment,A payment was delayed and this caused an additional fee. I would like clarification about this transaction.,neutral,high,resolved,website
214,17,2025-03-08,loan,I was charged an unexpected fee on my loan and customer service did not explain the charge.,negative,medium,resolved,hotline
215,16,2025-07-25,insurance,My insurance claim has been pending for a long time without a clear update.,negative,low,open,website
216,20,2025-04-20,billing,I was billed twice for the same service. I am requesting an update regarding my case.,neutral,low,open,hotline
217,16,2026-04-27,fraud,I believe my account information may have been compromised.,negative,high,resolved,hotline
218,8,2026-08-31,service,I could not get a clear answer regarding the service I requested.,negative,high,resolved,social_media
219,13,2025-09-11,payment,The company has not reflected my recent payment correctly.,negative,low,resolved,website
220,2,2026-01-17,billing,The invoice contains an amount that I did not authorize.,negative,medium,open,website
221,11,2026-05-09,fraud,I noticed a transaction that I do not recognize on my account.,negative,medium,open,hotline
222,19,2026-01-15,loan,I requested a copy of my loan agreement but have not received it.,negative,medium,open,website
223,20,2026-07-28,loan,I requested a copy of my loan agreement but have not received it.,negative,medium,open,social_media
224,3,2025-07-02,service,I could not get a clear answer regarding the service I requested.,negative,low,resolved,social_media
225,2,2026-02-27,loan,The company contacted me repeatedly about a payment that I already made.,negative,low,resolved,website
226,5,2025-06-13,insurance,The settlement amount for my claim appears incorrect. I am requesting an update regarding my case.,neutral,high,resolved,social_media
227,17,2026-05-25,loan,I requested a copy of my loan agreement but have not received it.,negative,medium,open,website
228,4,2026-07-08,payment,The company has not reflected my recent payment correctly.,negative,high,resolved,social_media
229,10,2026-07-14,payment,My payment was deducted but the system still shows the amount as unpaid.,negative,medium,dismissed,hotline
230,1,2025-07-19,payment,The payment process failed several times even though my account had sufficient funds.,negative,medium,resolved,branch
231,17,2025-03-28,billing,A payment was recorded incorrectly on my account.,negative,high,open,social_media
232,5,2025-05-28,loan,The loan application has been delayed for several weeks and I have not received a clear explanation. I am requesting an update regarding my case.,neutral,low,open,website
233,8,2026-05-06,service,I could not get a clear answer regarding the service I requested.,negative,medium,resolved,website
234,5,2025-12-26,service,I have been waiting too long for a response from the company.,negative,low,dismissed,website
235,9,2025-08-05,service,I have been waiting too long for a response from the company.,negative,low,open,website
236,18,2025-12-17,insurance,The company has not responded to my insurance complaint.,negative,high,resolved,hotline
237,16,2026-05-03,payment,The company has not reflected my recent payment correctly.,negative,low,open,hotline
238,14,2026-03-11,service,Customer service did not resolve my issue despite several calls.,negative,low,dismissed,hotline
239,14,2025-08-21,loan,The company contacted me repeatedly about a payment that I already made.,negative,high,resolved,hotline
240,15,2025-08-24,insurance,The settlement amount for my claim appears incorrect.,negative,high,resolved,hotline
241,11,2025-08-01,insurance,I was charged a premium that does not match the information in my policy.,negative,medium,resolved,website
242,15,2026-02-25,loan,I was charged an unexpected fee on my loan and customer service did not explain the charge.,negative,medium,resolved,hotline
243,1,2025-08-17,service,The branch staff gave me conflicting information about my account.,negative,low,resolved,social_media
244,15,2025-04-14,loan,I was charged an unexpected fee on my loan and customer service did not explain the charge.,negative,low,resolved,social_media
245,3,2025-03-07,service,I have been waiting too long for a response from the company.,negative,medium,resolved,hotline
246,9,2025-07-28,service,Customer service did not resolve my issue despite several calls.,negative,low,resolved,website
247,14,2025-07-30,insurance,The claim was rejected and I was not given a sufficient explanation. I would like clarification about this transaction.,neutral,medium,resolved,branch
248,5,2026-04-14,loan,The company contacted me repeatedly about a payment that I already made.,negative,medium,open,website
249,8,2025-04-29,loan,I was charged an unexpected fee on my loan and customer service did not explain the charge.,negative,medium,resolved,website
250,7,2026-06-20,service,The branch staff gave me conflicting information about my account.,negative,medium,resolved,hotline
251,2,2026-02-10,billing,The invoice contains an amount that I did not authorize.,negative,high,resolved,website
252,13,2025-12-16,fraud,Someone appears to have used my account without authorization.,negative,high,resolved,branch
253,17,2025-04-28,service,I have been waiting too long for a response from the company.,negative,low,resolved,hotline
254,13,2025-05-04,loan,I requested a copy of my loan agreement but have not received it.,negative,low,resolved,social_media
255,11,2025-09-11,fraud,Someone appears to have used my account without authorization.,negative,medium,resolved,branch
256,13,2026-08-04,billing,The invoice contains an amount that I did not authorize.,negative,high,open,branch
257,5,2025-10-22,service,My request was closed without solving the problem.,negative,medium,open,website
258,18,2026-07-23,payment,My payment was deducted but the system still shows the amount as unpaid.,negative,low,open,website
259,20,2025-06-12,billing,A payment was recorded incorrectly on my account.,negative,low,open,website
260,14,2026-08-19,insurance,The claim was rejected and I was not given a sufficient explanation. Please provide information about the status of my request.,neutral,low,resolved,website
261,18,2026-02-03,payment,My payment was deducted but the system still shows the amount as unpaid.,negative,medium,resolved,website
262,18,2025-05-22,fraud,I reported a suspicious transaction but have not received a response. My problem was solved and I received a clear explanation.,positive,medium,resolved,hotline
263,5,2026-01-06,payment,The payment process failed several times even though my account had sufficient funds.,negative,medium,open,branch
264,12,2026-08-21,insurance,My insurance claim has been pending for a long time without a clear update.,negative,medium,resolved,website
265,1,2025-06-26,service,My request was closed without solving the problem.,negative,medium,resolved,hotline
266,17,2025-03-07,billing,I was billed twice for the same service.,negative,low,dismissed,hotline
267,10,2026-07-25,service,The branch staff gave me conflicting information about my account.,negative,medium,open,branch
268,10,2025-08-02,payment,A payment was delayed and this caused an additional fee. I would like clarification about this transaction.,neutral,medium,resolved,hotline
269,15,2025-02-27,insurance,The settlement amount for my claim appears incorrect.,negative,low,open,social_media
270,17,2025-08-15,loan,The loan application has been delayed for several weeks and I have not received a clear explanation.,negative,medium,open,branch
271,6,2025-09-25,service,Customer service did not resolve my issue despite several calls.,negative,low,resolved,website
272,10,2025-08-26,loan,I requested a copy of my loan agreement but have not received it. I am requesting an update regarding my case.,neutral,medium,resolved,branch
273,8,2025-09-16,service,I could not get a clear answer regarding the service I requested.,negative,medium,open,social_media
274,18,2025-09-17,loan,The loan application has been delayed for several weeks and I have not received a clear explanation.,negative,low,resolved,hotline
275,6,2026-06-17,payment,A payment was delayed and this caused an additional fee. I would like clarification about this transaction.,neutral,low,dismissed,branch
276,13,2025-05-11,insurance,The company has not responded to my insurance complaint. I would like clarification about this transaction.,neutral,medium,open,hotline
277,1,2025-09-22,loan,I requested a copy of my loan agreement but have not received it. Please provide information about the status of my request.,neutral,low,dismissed,branch
278,20,2025-08-14,payment,A payment was delayed and this caused an additional fee. I am requesting an update regarding my case.,neutral,low,resolved,branch
279,3,2026-06-30,payment,The payment process failed several times even though my account had sufficient funds.,negative,low,open,hotline
280,9,2025-10-16,fraud,Someone appears to have used my account without authorization. I am requesting an update regarding my case.,neutral,low,resolved,hotline
281,20,2025-07-20,fraud,Someone appears to have used my account without authorization.,negative,high,open,website
282,20,2025-08-15,insurance,I was charged a premium that does not match the information in my policy.,negative,medium,open,website
283,14,2025-04-25,fraud,There are unauthorized charges on my account. I would like clarification about this transaction.,neutral,medium,open,social_media
